wl,IR
1.6965015435644741,10.800187351686988
1.696481396981314,10.809394920369328
1.6964612508766441,10.827926057456107
1.696441105250448,10.837183724622939
1.6964180822635164,10.837813616148471
1.6963979376625635,10.836550468640203
1.6963777935400302,10.839861783919146
1.6963576498958999,10.843220696366256
1.6963346291741,10.844728992406644
1.6963144865550615,10.848919925680669
1.696294344414372,10.849352490891079
1.6962742027520152,10.850138649102938
1.6962511842950128,10.846333104586684
1.6962310436575965,10.851246666293187
1.696210903498459,10.854947735997348
1.6961878867593552,10.85847976162694
1.6961677476250434,10.858934601869882
1.6961476089689567,10.86059216390523
1.6961274707910783,10.861845512859132
1.6961044563161842,10.86379003113009
1.6960843191629802,10.865460019924525
1.6960641824879308,10.86742974907558
1.696044046291019,10.867470966769453
1.696021034080001,10.861289328782538
