T,v
4.106160e+03,9.417530e-01
4.106220e+03,9.740550e-01
4.106350e+03,9.878700e-01
4.106880e+03,9.979030e-01
4.107020e+03,9.864990e-01
4.107060e+03,9.817770e-01
4.107150e+03,9.972160e-01
4.109440e+03,9.948460e-01
4.109510e+03,9.768550e-01
4.109550e+03,9.366180e-01
4.109570e+03,9.439840e-01
4.109610e+03,9.814540e-01
4.109710e+03,9.968200e-01
4.121250e+03,9.953580e-01
4.121320e+03,9.807880e-01
4.121370e+03,9.467130e-01
4.121430e+03,9.855060e-01
4.121580e+03,9.984140e-01
4.125100e+03,9.951360e-01
4.125160e+03,9.803470e-01
4.125200e+03,9.649300e-01
4.125270e+03,9.928190e-01
4.126830e+03,9.999530e-01
4.128690e+03,9.950540e-01
4.128740e+03,9.894590e-01
4.128880e+03,9.995620e-01
4.132980e+03,9.949190e-01
4.133040e+03,9.779790e-01
4.133070e+03,9.639210e-01
4.133140e+03,9.927140e-01
4.133510e+03,9.939880e-01
4.133600e+03,9.771590e-01
4.133630e+03,9.527880e-01
4.133650e+03,9.150410e-01
4.133670e+03,8.571570e-01
4.133680e+03,8.412280e-01
4.133690e+03,8.499360e-01
4.133720e+03,9.309230e-01
4.133750e+03,9.693630e-01
4.133820e+03,9.910630e-01
4.134430e+03,9.974150e-01
4.134590e+03,9.855630e-01
4.134630e+03,9.664820e-01
4.134660e+03,9.283230e-01
4.134680e+03,9.002700e-01
4.134690e+03,8.999130e-01
4.134740e+03,9.660460e-01
4.134800e+03,9.896090e-01
4.135250e+03,9.994320e-01
4.138610e+03,9.940280e-01
4.138720e+03,9.768690e-01
4.138760e+03,9.459250e-01
4.138780e+03,9.089560e-01
4.138810e+03,8.306720e-01
4.138820e+03,8.276040e-01
4.138830e+03,8.454020e-01
4.138860e+03,9.250060e-01
4.138890e+03,9.637620e-01
4.138950e+03,9.870310e-01
4.139240e+03,9.963830e-01
4.139340e+03,9.853930e-01
4.139390e+03,9.583310e-01
4.139460e+03,9.907890e-01
4.139890e+03,9.995480e-01
4.141830e+03,9.937180e-01
4.141890e+03,9.740940e-01
4.141930e+03,9.338510e-01
4.141950e+03,9.495600e-01
4.141980e+03,9.792400e-01
4.142060e+03,9.959580e-01
4.142890e+03,9.952060e-01
4.142960e+03,9.953650e-01
4.146270e+03,9.957310e-01
4.146350e+03,9.811770e-01
4.146440e+03,9.976180e-01
4.149430e+03,9.947890e-01
4.149480e+03,9.782410e-01
4.149510e+03,9.606830e-01
4.149570e+03,9.922080e-01
4.149700e+03,9.931910e-01
4.149750e+03,9.890040e-01
4.149900e+03,9.993630e-01
4.153280e+03,9.945810e-01
4.153350e+03,9.782830e-01
4.153430e+03,9.967620e-01
4.154490e+03,9.942710e-01
4.154550e+03,9.755760e-01
4.154580e+03,9.467850e-01
4.154600e+03,9.498240e-01
4.154640e+03,9.836150e-01
4.154750e+03,9.977420e-01
4.156070e+03,9.951860e-01
4.156120e+03,9.942810e-01
4.157660e+03,9.993750e-01
4.159100e+03,9.947170e-01
4.159180e+03,9.711430e-01
4.159250e+03,9.914270e-01
4.159310e+03,9.833210e-01
4.159350e+03,9.625600e-01
4.159410e+03,9.923630e-01
4.160070e+03,9.998500e-01
4.165960e+03,9.955920e-01
4.166040e+03,9.863780e-01
4.166170e+03,9.989810e-01
4.171240e+03,9.952400e-01
4.171300e+03,9.876840e-01
4.171420e+03,9.991970e-01
4.172260e+03,9.935680e-01
4.172300e+03,9.792120e-01
4.172330e+03,9.544790e-01
4.172390e+03,9.904340e-01
4.172670e+03,9.996480e-01
4.181360e+03,9.945750e-01
4.181420e+03,9.814760e-01
4.181450e+03,9.531260e-01
4.181470e+03,9.191990e-01
4.181480e+03,9.134150e-01
4.181520e+03,9.692880e-01
4.181570e+03,9.914100e-01
4.182110e+03,9.997870e-01
4.187250e+03,9.950330e-01
4.187300e+03,9.817440e-01
4.187340e+03,9.440270e-01
