T,v
7.842040e+03,4.843120e-01
7.842050e+03,5.894260e-01
7.842060e+03,6.693700e-01
7.842070e+03,7.299480e-01
7.842080e+03,7.762450e-01
7.842100e+03,8.402450e-01
7.842130e+03,8.955480e-01
7.842180e+03,9.400820e-01
7.842270e+03,9.700180e-01
7.842360e+03,9.724660e-01
7.842450e+03,9.862630e-01
7.843200e+03,9.920340e-01
7.843550e+03,9.736990e-01
7.843660e+03,9.446030e-01
7.843720e+03,9.012030e-01
7.843750e+03,8.575960e-01
7.843770e+03,8.109290e-01
7.843790e+03,7.387980e-01
7.843800e+03,6.877340e-01
7.843810e+03,6.222520e-01
7.843820e+03,5.380570e-01
7.843830e+03,4.310700e-01
7.843850e+03,1.622140e-01
7.843860e+03,5.316680e-02
7.843870e+03,8.255060e-03
7.843890e+03,7.494120e-04
7.843900e+03,4.532630e-03
7.843910e+03,3.473440e-02
7.843920e+03,1.277300e-01
7.843940e+03,3.980630e-01
7.843950e+03,5.115190e-01
7.843960e+03,6.014870e-01
7.843970e+03,6.715280e-01
7.843980e+03,7.260400e-01
7.844000e+03,8.026280e-01
7.844030e+03,8.693450e-01
7.844070e+03,9.125220e-01
7.844130e+03,9.503440e-01
7.844230e+03,9.633390e-01
7.844350e+03,9.851950e-01
7.845280e+03,9.968310e-01
7.845520e+03,9.911450e-01
7.845550e+03,9.848200e-01
7.845640e+03,9.958020e-01
7.846150e+03,9.833610e-01
7.846260e+03,9.588590e-01
7.846310e+03,9.225990e-01
7.846340e+03,8.718740e-01
7.846360e+03,8.059920e-01
7.846370e+03,7.539790e-01
7.846380e+03,6.811340e-01
7.846390e+03,5.787260e-01
7.846400e+03,4.401640e-01
7.846410e+03,2.780410e-01
7.846420e+03,1.438910e-01
7.846430e+03,8.327880e-02
7.846440e+03,9.089430e-02
7.846450e+03,1.697270e-01
7.846460e+03,3.163730e-01
7.846470e+03,4.761160e-01
7.846480e+03,6.060930e-01
7.846490e+03,7.006740e-01
7.846500e+03,7.678550e-01
7.846510e+03,8.159910e-01
7.846530e+03,8.773930e-01
7.846560e+03,9.251960e-01
7.846610e+03,9.597920e-01
7.846730e+03,9.844070e-01
7.847330e+03,9.954150e-01
7.847430e+03,9.860190e-01
7.847460e+03,9.841830e-01
7.847540e+03,9.950820e-01
7.848210e+03,9.826710e-01
7.848380e+03,9.558750e-01
7.848450e+03,9.195320e-01
7.848490e+03,8.740170e-01
7.848520e+03,8.097380e-01
7.848540e+03,7.372020e-01
7.848550e+03,6.858750e-01
7.848560e+03,6.201050e-01
7.848570e+03,5.356500e-01
7.848580e+03,4.285860e-01
7.848600e+03,1.615680e-01
7.848610e+03,5.422710e-02
7.848620e+03,9.305290e-03
7.848640e+03,1.197770e-03
7.848650e+03,6.413530e-03
7.848660e+03,4.128990e-02
7.848670e+03,1.378410e-01
7.848690e+03,4.023390e-01
7.848700e+03,5.109890e-01
7.848710e+03,5.988480e-01
7.848720e+03,6.694770e-01
7.848730e+03,7.250500e-01
7.848750e+03,8.026520e-01
7.848780e+03,8.702380e-01
7.848820e+03,9.174750e-01
7.848890e+03,9.547470e-01
7.849020e+03,9.765600e-01
7.849420e+03,9.919630e-01
7.850100e+03,9.804810e-01
7.850270e+03,9.541410e-01
7.850350e+03,9.144650e-01
7.850390e+03,8.746130e-01
7.850420e+03,8.211470e-01
7.850440e+03,7.648810e-01
7.850460e+03,6.800210e-01
7.850470e+03,6.215210e-01
7.850480e+03,5.484560e-01
7.850490e+03,4.578440e-01
7.850500e+03,3.484330e-01
7.850520e+03,1.071920e-01
7.850530e+03,2.878380e-02
7.850540e+03,3.251890e-03
7.850570e+03,9.650240e-04
7.850580e+03,1.178410e-02
7.850590e+03,6.385360e-02
7.850600e+03,1.665330e-01
7.850620e+03,4.030540e-01
7.850630e+03,5.029220e-01
7.850640e+03,5.853440e-01
7.850650e+03,6.513250e-01
7.850660e+03,7.037270e-01
7.850680e+03,7.783160e-01
7.850710e+03,8.473640e-01
7.850750e+03,9.027910e-01
7.850810e+03,9.417660e-01
7.850940e+03,9.737590e-01
7.851340e+03,9.929330e-01
7.851790e+03,9.925930e-01
7.851830e+03,9.830340e-01
7.851900e+03,9.960190e-01
7.853710e+03,9.927190e-01
7.853750e+03,9.786200e-01
7.853810e+03,9.952770e-01
7.854650e+03,9.850990e-01
7.854840e+03,9.608620e-01
7.854890e+03,9.377130e-01
7.854930e+03,9.158270e-01
7.854970e+03,8.829700e-01
7.855000e+03,8.312710e-01
7.855020e+03,7.749410e-01
7.855040e+03,6.874850e-01
7.855050e+03,6.257810e-01
7.855060e+03,5.474370e-01
7.855070e+03,4.489000e-01
7.855080e+03,3.293130e-01
7.855090e+03,1.973190e-01
7.855100e+03,8.117930e-02
7.855110e+03,1.801680e-02
7.855120e+03,2.429940e-03
7.855140e+03,1.948370e-03
7.855150e+03,1.440140e-02
7.855160e+03,7.043180e-02
7.855170e+03,1.819330e-01
7.855180e+03,3.139730e-01
7.855190e+03,4.357770e-01
7.855200e+03,5.368710e-01
7.855210e+03,6.174510e-01
7.855220e+03,6.809460e-01
7.855230e+03,7.310530e-01
7.855250e+03,8.028610e-01
